feature_name,feature_category,dtype,description,missing_percentage,used_for_training,reason_if_excluded
city,entity,object,City,0.0,True,
latitude,entity,float64,Latitude,0.0,False,raw_identifier
longitude,entity,float64,Longitude,0.0,False,raw_identifier
temperature_2m,raw,float64,Temperature 2m,0.0,True,
relative_humidity_2m,raw,float64,Relative humidity 2m,0.0,True,
dew_point_2m,raw,float64,Dew point 2m,0.0,True,
apparent_temperature,raw,float64,Apparent temperature,0.0,True,
precipitation,raw,float64,Precipitation,0.0,True,
rain,raw,float64,Rain,0.0,False,duplicate_of:precipitation
surface_pressure,raw,float64,Surface pressure,0.0,True,
cloud_cover,raw,int64,Cloud cover,0.0,True,
wind_speed_10m,wind,float64,Wind speed 10m,0.0,True,
wind_direction_10m,wind,int64,Wind direction 10m,0.0,True,
wind_gusts_10m,wind,float64,Wind gusts 10m,0.0,True,
pm10,raw,float64,Pm10,0.20394289598912305,True,
pm2_5,raw,float64,Pm2 5,0.20394289598912305,True,
carbon_monoxide,raw,float64,Carbon monoxide,0.20394289598912305,True,
nitrogen_dioxide,raw,float64,Nitrogen dioxide,0.20394289598912305,True,
sulphur_dioxide,raw,float64,Sulphur dioxide,0.20394289598912305,True,
ozone,raw,float64,Ozone,0.20394289598912305,True,
us_aqi,raw,float64,Us aqi,0.27758894176297305,True,
hour,time,int32,Hour,0.0,True,
day,time,int32,Day,0.0,True,
day_of_week,time,int32,Day of week,0.0,True,
day_of_month,time,int32,Day of month,0.0,False,duplicate_of:day
day_of_year,time,int32,Day of year,0.0,True,
week_of_year,time,int16,Week of year,0.0,True,
month,time,int32,Month,0.0,True,
quarter,time,int32,Quarter,0.0,True,
year,time,int32,Year,0.0,True,
is_weekend,time,int8,Is weekend,0.0,True,
season,time,int8,Season,0.0,True,
hour_sin,time,float64,Hour sin,0.0,True,
hour_cos,time,float64,Hour cos,0.0,True,
day_of_week_sin,time,float64,Day of week sin,0.0,True,
day_of_week_cos,time,float64,Day of week cos,0.0,True,
month_sin,time,float64,Month sin,0.0,True,
month_cos,time,float64,Month cos,0.0,True,
day_of_year_sin,time,float64,Day of year sin,0.0,True,
day_of_year_cos,time,float64,Day of year cos,0.0,True,
aqi_lag_1h,lag,float64,Aqi lag 1h,0.2804214819850442,True,
aqi_lag_2h,lag,float64,Aqi lag 2h,0.2832540222071153,True,
aqi_lag_3h,lag,float64,Aqi lag 3h,0.2860865624291865,True,
aqi_lag_4h,lag,float64,Aqi lag 4h,0.28891910265125764,True,
aqi_lag_6h,lag,float64,Aqi lag 6h,0.29458418309539997,True,
aqi_lag_8h,lag,float64,Aqi lag 8h,0.3002492635395423,True,
aqi_lag_12h,lag,float64,Aqi lag 12h,0.3115794244278269,True,
aqi_lag_18h,lag,float64,Aqi lag 18h,0.3285746657602538,True,
aqi_lag_24h,lag,float64,Aqi lag 24h,0.3455699070926807,True,
aqi_lag_36h,lag,float64,Aqi lag 36h,0.37956038975753453,True,
aqi_lag_48h,lag,float64,Aqi lag 48h,0.4135508724223884,True,
aqi_lag_72h,lag,float64,Aqi lag 72h,0.48153183775209607,True,
aqi_lag_168h,lag,float64,Aqi lag 168h,0.7534556990709268,True,
pm25_lag_1h,lag,float64,Pm25 lag 1h,0.2067754362111942,True,
pm25_lag_3h,lag,float64,Pm25 lag 3h,0.2124405166553365,True,
pm25_lag_6h,lag,float64,Pm25 lag 6h,0.22093813732154996,True,
pm25_lag_12h,lag,float64,Pm25 lag 12h,0.2379333786539769,True,
pm25_lag_24h,lag,float64,Pm25 lag 24h,0.27192386131883073,True,
pm25_lag_48h,lag,float64,Pm25 lag 48h,0.3399048266485384,True,
pm25_lag_72h,lag,float64,Pm25 lag 72h,0.4078857919782461,True,
pm10_lag_1h,lag,float64,Pm10 lag 1h,0.2067754362111942,True,
pm10_lag_3h,lag,float64,Pm10 lag 3h,0.2124405166553365,True,
pm10_lag_6h,lag,float64,Pm10 lag 6h,0.22093813732154996,True,
pm10_lag_12h,lag,float64,Pm10 lag 12h,0.2379333786539769,True,
pm10_lag_24h,lag,float64,Pm10 lag 24h,0.27192386131883073,True,
pm10_lag_48h,lag,float64,Pm10 lag 48h,0.3399048266485384,True,
pm10_lag_72h,lag,float64,Pm10 lag 72h,0.4078857919782461,True,
co_lag_1h,lag,float64,Co lag 1h,0.2067754362111942,True,
co_lag_3h,lag,float64,Co lag 3h,0.2124405166553365,True,
co_lag_6h,lag,float64,Co lag 6h,0.22093813732154996,True,
co_lag_12h,lag,float64,Co lag 12h,0.2379333786539769,True,
co_lag_24h,lag,float64,Co lag 24h,0.27192386131883073,True,
co_lag_48h,lag,float64,Co lag 48h,0.3399048266485384,True,
co_lag_72h,lag,float64,Co lag 72h,0.4078857919782461,True,
no2_lag_1h,lag,float64,No2 lag 1h,0.2067754362111942,True,
no2_lag_3h,lag,float64,No2 lag 3h,0.2124405166553365,True,
no2_lag_6h,lag,float64,No2 lag 6h,0.22093813732154996,True,
no2_lag_12h,lag,float64,No2 lag 12h,0.2379333786539769,True,
no2_lag_24h,lag,float64,No2 lag 24h,0.27192386131883073,True,
no2_lag_48h,lag,float64,No2 lag 48h,0.3399048266485384,True,
no2_lag_72h,lag,float64,No2 lag 72h,0.4078857919782461,True,
so2_lag_1h,lag,float64,So2 lag 1h,0.2067754362111942,True,
so2_lag_3h,lag,float64,So2 lag 3h,0.2124405166553365,True,
so2_lag_6h,lag,float64,So2 lag 6h,0.22093813732154996,True,
so2_lag_12h,lag,float64,So2 lag 12h,0.2379333786539769,True,
so2_lag_24h,lag,float64,So2 lag 24h,0.27192386131883073,True,
so2_lag_48h,lag,float64,So2 lag 48h,0.3399048266485384,True,
so2_lag_72h,lag,float64,So2 lag 72h,0.4078857919782461,True,
o3_lag_1h,lag,float64,O3 lag 1h,0.2067754362111942,True,
o3_lag_3h,lag,float64,O3 lag 3h,0.2124405166553365,True,
o3_lag_6h,lag,float64,O3 lag 6h,0.22093813732154996,True,
o3_lag_12h,lag,float64,O3 lag 12h,0.2379333786539769,True,
o3_lag_24h,lag,float64,O3 lag 24h,0.27192386131883073,True,
o3_lag_48h,lag,float64,O3 lag 48h,0.3399048266485384,True,
o3_lag_72h,lag,float64,O3 lag 72h,0.4078857919782461,True,
temperature_lag_1h,lag,float64,Temperature lag 1h,0.0028325402220711533,True,
temperature_lag_3h,lag,float64,Temperature lag 3h,0.00849762066621346,True,
temperature_lag_6h,lag,float64,Temperature lag 6h,0.01699524133242692,True,
temperature_lag_12h,lag,float64,Temperature lag 12h,0.03399048266485384,True,
temperature_lag_24h,lag,float64,Temperature lag 24h,0.06798096532970768,True,
humidity_lag_1h,lag,float64,Humidity lag 1h,0.0028325402220711533,True,
humidity_lag_3h,lag,float64,Humidity lag 3h,0.00849762066621346,True,
humidity_lag_6h,lag,float64,Humidity lag 6h,0.01699524133242692,True,
humidity_lag_12h,lag,float64,Humidity lag 12h,0.03399048266485384,True,
humidity_lag_24h,lag,float64,Humidity lag 24h,0.06798096532970768,True,
pressure_lag_1h,lag,float64,Pressure lag 1h,0.0028325402220711533,True,
pressure_lag_3h,lag,float64,Pressure lag 3h,0.00849762066621346,True,
pressure_lag_6h,lag,float64,Pressure lag 6h,0.01699524133242692,True,
pressure_lag_12h,lag,float64,Pressure lag 12h,0.03399048266485384,True,
pressure_lag_24h,lag,float64,Pressure lag 24h,0.06798096532970768,True,
wind_lag_1h,lag,float64,Wind lag 1h,0.0028325402220711533,True,
wind_lag_3h,lag,float64,Wind lag 3h,0.00849762066621346,True,
wind_lag_6h,lag,float64,Wind lag 6h,0.01699524133242692,True,
wind_lag_12h,lag,float64,Wind lag 12h,0.03399048266485384,True,
wind_lag_24h,lag,float64,Wind lag 24h,0.06798096532970768,True,
precipitation_lag_1h,lag,float64,Precipitation lag 1h,0.0028325402220711533,True,
precipitation_lag_3h,lag,float64,Precipitation lag 3h,0.00849762066621346,True,
precipitation_lag_6h,lag,float64,Precipitation lag 6h,0.01699524133242692,True,
precipitation_lag_12h,lag,float64,Precipitation lag 12h,0.03399048266485384,True,
precipitation_lag_24h,lag,float64,Precipitation lag 24h,0.06798096532970768,True,
dew_point_lag_1h,lag,float64,Dew point lag 1h,0.0028325402220711533,True,
dew_point_lag_3h,lag,float64,Dew point lag 3h,0.00849762066621346,True,
dew_point_lag_6h,lag,float64,Dew point lag 6h,0.01699524133242692,True,
dew_point_lag_12h,lag,float64,Dew point lag 12h,0.03399048266485384,True,
dew_point_lag_24h,lag,float64,Dew point lag 24h,0.06798096532970768,True,
aqi_rolling_mean_3h,rolling,float64,Aqi rolling mean 3h,0.2757005816149256,True,
aqi_rolling_min_3h,rolling,float64,Aqi rolling min 3h,0.2757005816149256,True,
aqi_rolling_max_3h,rolling,float64,Aqi rolling max 3h,0.2757005816149256,True,
aqi_rolling_std_3h,rolling,float64,Aqi rolling std 3h,0.2804214819850442,True,
aqi_rolling_mean_6h,rolling,float64,Aqi rolling mean 6h,0.2728680413928544,True,
aqi_rolling_min_6h,rolling,float64,Aqi rolling min 6h,0.2728680413928544,True,
aqi_rolling_max_6h,rolling,float64,Aqi rolling max 6h,0.2728680413928544,True,
aqi_rolling_std_6h,rolling,float64,Aqi rolling std 6h,0.27758894176297305,True,
aqi_rolling_mean_12h,rolling,float64,Aqi rolling mean 12h,0.27192386131883073,True,
aqi_rolling_min_12h,rolling,float64,Aqi rolling min 12h,0.27192386131883073,True,
aqi_rolling_max_12h,rolling,float64,Aqi rolling max 12h,0.27192386131883073,True,
aqi_rolling_std_12h,rolling,float64,Aqi rolling std 12h,0.27475640154090186,True,
aqi_rolling_mean_24h,rolling,float64,Aqi rolling mean 24h,0.27192386131883073,True,
aqi_rolling_min_24h,rolling,float64,Aqi rolling min 24h,0.27192386131883073,True,
aqi_rolling_max_24h,rolling,float64,Aqi rolling max 24h,0.27192386131883073,True,
aqi_rolling_std_24h,rolling,float64,Aqi rolling std 24h,0.27475640154090186,True,
aqi_rolling_mean_48h,rolling,float64,Aqi rolling mean 48h,0.27192386131883073,True,
aqi_rolling_min_48h,rolling,float64,Aqi rolling min 48h,0.27192386131883073,True,
aqi_rolling_max_48h,rolling,float64,Aqi rolling max 48h,0.27192386131883073,True,
aqi_rolling_std_48h,rolling,float64,Aqi rolling std 48h,0.27475640154090186,True,
aqi_rolling_mean_72h,rolling,float64,Aqi rolling mean 72h,0.27192386131883073,True,
aqi_rolling_min_72h,rolling,float64,Aqi rolling min 72h,0.27192386131883073,True,
aqi_rolling_max_72h,rolling,float64,Aqi rolling max 72h,0.27192386131883073,True,
aqi_rolling_std_72h,rolling,float64,Aqi rolling std 72h,0.27475640154090186,True,
aqi_rolling_mean_168h,rolling,float64,Aqi rolling mean 168h,0.27192386131883073,True,
aqi_rolling_min_168h,rolling,float64,Aqi rolling min 168h,0.27192386131883073,True,
aqi_rolling_max_168h,rolling,float64,Aqi rolling max 168h,0.27192386131883073,True,
aqi_rolling_std_168h,rolling,float64,Aqi rolling std 168h,0.27475640154090186,True,
pm25_rolling_mean_3h,rolling,float64,Pm25 rolling mean 3h,0.20394289598912305,True,
pm25_rolling_min_3h,rolling,float64,Pm25 rolling min 3h,0.20394289598912305,True,
pm25_rolling_max_3h,rolling,float64,Pm25 rolling max 3h,0.20394289598912305,True,
pm25_rolling_std_3h,rolling,float64,Pm25 rolling std 3h,0.2067754362111942,True,
pm25_rolling_mean_6h,rolling,float64,Pm25 rolling mean 6h,0.20394289598912305,True,
pm25_rolling_min_6h,rolling,float64,Pm25 rolling min 6h,0.20394289598912305,True,
pm25_rolling_max_6h,rolling,float64,Pm25 rolling max 6h,0.20394289598912305,True,
pm25_rolling_std_6h,rolling,float64,Pm25 rolling std 6h,0.2067754362111942,True,
pm25_rolling_mean_12h,rolling,float64,Pm25 rolling mean 12h,0.20394289598912305,True,
pm25_rolling_min_12h,rolling,float64,Pm25 rolling min 12h,0.20394289598912305,True,
pm25_rolling_max_12h,rolling,float64,Pm25 rolling max 12h,0.20394289598912305,True,
pm25_rolling_std_12h,rolling,float64,Pm25 rolling std 12h,0.2067754362111942,True,
pm25_rolling_mean_24h,rolling,float64,Pm25 rolling mean 24h,0.20394289598912305,True,
pm25_rolling_min_24h,rolling,float64,Pm25 rolling min 24h,0.20394289598912305,True,
pm25_rolling_max_24h,rolling,float64,Pm25 rolling max 24h,0.20394289598912305,True,
pm25_rolling_std_24h,rolling,float64,Pm25 rolling std 24h,0.2067754362111942,True,
pm25_rolling_mean_48h,rolling,float64,Pm25 rolling mean 48h,0.20394289598912305,True,
pm25_rolling_min_48h,rolling,float64,Pm25 rolling min 48h,0.20394289598912305,True,
pm25_rolling_max_48h,rolling,float64,Pm25 rolling max 48h,0.20394289598912305,True,
pm25_rolling_std_48h,rolling,float64,Pm25 rolling std 48h,0.2067754362111942,True,
pm25_rolling_mean_72h,rolling,float64,Pm25 rolling mean 72h,0.20394289598912305,True,
pm25_rolling_min_72h,rolling,float64,Pm25 rolling min 72h,0.20394289598912305,True,
pm25_rolling_max_72h,rolling,float64,Pm25 rolling max 72h,0.20394289598912305,True,
pm25_rolling_std_72h,rolling,float64,Pm25 rolling std 72h,0.2067754362111942,True,
pm25_rolling_mean_168h,rolling,float64,Pm25 rolling mean 168h,0.20394289598912305,True,
pm25_rolling_min_168h,rolling,float64,Pm25 rolling min 168h,0.20394289598912305,True,
pm25_rolling_max_168h,rolling,float64,Pm25 rolling max 168h,0.20394289598912305,True,
pm25_rolling_std_168h,rolling,float64,Pm25 rolling std 168h,0.2067754362111942,True,
pm10_rolling_mean_3h,rolling,float64,Pm10 rolling mean 3h,0.20394289598912305,True,
pm10_rolling_min_3h,rolling,float64,Pm10 rolling min 3h,0.20394289598912305,True,
pm10_rolling_max_3h,rolling,float64,Pm10 rolling max 3h,0.20394289598912305,True,
pm10_rolling_std_3h,rolling,float64,Pm10 rolling std 3h,0.2067754362111942,True,
pm10_rolling_mean_6h,rolling,float64,Pm10 rolling mean 6h,0.20394289598912305,True,
pm10_rolling_min_6h,rolling,float64,Pm10 rolling min 6h,0.20394289598912305,True,
pm10_rolling_max_6h,rolling,float64,Pm10 rolling max 6h,0.20394289598912305,True,
pm10_rolling_std_6h,rolling,float64,Pm10 rolling std 6h,0.2067754362111942,True,
pm10_rolling_mean_12h,rolling,float64,Pm10 rolling mean 12h,0.20394289598912305,True,
pm10_rolling_min_12h,rolling,float64,Pm10 rolling min 12h,0.20394289598912305,True,
pm10_rolling_max_12h,rolling,float64,Pm10 rolling max 12h,0.20394289598912305,True,
pm10_rolling_std_12h,rolling,float64,Pm10 rolling std 12h,0.2067754362111942,True,
pm10_rolling_mean_24h,rolling,float64,Pm10 rolling mean 24h,0.20394289598912305,True,
