feature_name,dtype,missing_percentage,unique_values,used_for_training,reason_if_excluded
city,object,0.0,3,True,
latitude,float64,0.0,3,False,raw_identifier
longitude,float64,0.0,3,False,raw_identifier
temperature_2m,float64,0.0,444,True,
relative_humidity_2m,float64,0.0,96,True,
dew_point_2m,float64,0.0,426,True,
apparent_temperature,float64,0.0,487,True,
precipitation,float64,0.0,150,True,
rain,float64,0.0,150,False,duplicate_of:precipitation
surface_pressure,float64,0.0,882,True,
cloud_cover,int64,0.0,101,True,
wind_speed_10m,float64,0.0,421,True,
wind_direction_10m,int64,0.0,360,True,
wind_gusts_10m,float64,0.0,188,True,
pm10,float64,0.20394289598912305,1345,True,
pm2_5,float64,0.20394289598912305,1151,True,
carbon_monoxide,float64,0.20394289598912305,5337,True,
nitrogen_dioxide,float64,0.20394289598912305,1940,True,
sulphur_dioxide,float64,0.20394289598912305,1005,True,
ozone,float64,0.20394289598912305,417,True,
us_aqi,float64,0.27758894176297305,358,True,
hour,int32,0.0,24,True,
day,int32,0.0,31,True,
day_of_week,int32,0.0,7,True,
day_of_month,int32,0.0,31,False,duplicate_of:day
day_of_year,int32,0.0,366,True,
week_of_year,int16,0.0,52,True,
month,int32,0.0,12,True,
quarter,int32,0.0,4,True,
year,int32,0.0,5,True,
is_weekend,int8,0.0,2,True,
season,int8,0.0,4,True,
hour_sin,float64,0.0,21,True,
hour_cos,float64,0.0,22,True,
day_of_week_sin,float64,0.0,7,True,
day_of_week_cos,float64,0.0,7,True,
month_sin,float64,0.0,11,True,
month_cos,float64,0.0,11,True,
day_of_year_sin,float64,0.0,366,True,
day_of_year_cos,float64,0.0,366,True,
aqi_lag_1h,float64,0.2804214819850442,358,True,
aqi_lag_2h,float64,0.2832540222071153,358,True,
aqi_lag_3h,float64,0.2860865624291865,358,True,
aqi_lag_4h,float64,0.28891910265125764,358,True,
aqi_lag_6h,float64,0.29458418309539997,358,True,
aqi_lag_8h,float64,0.3002492635395423,358,True,
aqi_lag_12h,float64,0.3115794244278269,358,True,
aqi_lag_18h,float64,0.3285746657602538,358,True,
aqi_lag_24h,float64,0.3455699070926807,358,True,
aqi_lag_36h,float64,0.37956038975753453,358,True,
aqi_lag_48h,float64,0.4135508724223884,358,True,
aqi_lag_72h,float64,0.48153183775209607,358,True,
aqi_lag_168h,float64,0.7534556990709268,358,True,
pm25_lag_1h,float64,0.2067754362111942,1151,True,
pm25_lag_3h,float64,0.2124405166553365,1151,True,
pm25_lag_6h,float64,0.22093813732154996,1151,True,
pm25_lag_12h,float64,0.2379333786539769,1151,True,
pm25_lag_24h,float64,0.27192386131883073,1151,True,
pm25_lag_48h,float64,0.3399048266485384,1151,True,
pm25_lag_72h,float64,0.4078857919782461,1151,True,
pm10_lag_1h,float64,0.2067754362111942,1345,True,
pm10_lag_3h,float64,0.2124405166553365,1345,True,
pm10_lag_6h,float64,0.22093813732154996,1345,True,
pm10_lag_12h,float64,0.2379333786539769,1345,True,
pm10_lag_24h,float64,0.27192386131883073,1345,True,
pm10_lag_48h,float64,0.3399048266485384,1345,True,
pm10_lag_72h,float64,0.4078857919782461,1345,True,
co_lag_1h,float64,0.2067754362111942,5337,True,
co_lag_3h,float64,0.2124405166553365,5337,True,
co_lag_6h,float64,0.22093813732154996,5337,True,
co_lag_12h,float64,0.2379333786539769,5337,True,
co_lag_24h,float64,0.27192386131883073,5337,True,
co_lag_48h,float64,0.3399048266485384,5337,True,
co_lag_72h,float64,0.4078857919782461,5337,True,
no2_lag_1h,float64,0.2067754362111942,1940,True,
no2_lag_3h,float64,0.2124405166553365,1940,True,
no2_lag_6h,float64,0.22093813732154996,1940,True,
no2_lag_12h,float64,0.2379333786539769,1940,True,
no2_lag_24h,float64,0.27192386131883073,1940,True,
no2_lag_48h,float64,0.3399048266485384,1940,True,
no2_lag_72h,float64,0.4078857919782461,1940,True,
so2_lag_1h,float64,0.2067754362111942,1005,True,
so2_lag_3h,float64,0.2124405166553365,1005,True,
so2_lag_6h,float64,0.22093813732154996,1005,True,
so2_lag_12h,float64,0.2379333786539769,1005,True,
so2_lag_24h,float64,0.27192386131883073,1005,True,
so2_lag_48h,float64,0.3399048266485384,1005,True,
so2_lag_72h,float64,0.4078857919782461,1005,True,
o3_lag_1h,float64,0.2067754362111942,417,True,
o3_lag_3h,float64,0.2124405166553365,417,True,
o3_lag_6h,float64,0.22093813732154996,417,True,
o3_lag_12h,float64,0.2379333786539769,417,True,
o3_lag_24h,float64,0.27192386131883073,416,True,
o3_lag_48h,float64,0.3399048266485384,416,True,
o3_lag_72h,float64,0.4078857919782461,416,True,
temperature_lag_1h,float64,0.0028325402220711533,444,True,
temperature_lag_3h,float64,0.00849762066621346,444,True,
temperature_lag_6h,float64,0.01699524133242692,444,True,
temperature_lag_12h,float64,0.03399048266485384,444,True,
temperature_lag_24h,float64,0.06798096532970768,444,True,
humidity_lag_1h,float64,0.0028325402220711533,96,True,
humidity_lag_3h,float64,0.00849762066621346,96,True,
humidity_lag_6h,float64,0.01699524133242692,96,True,
humidity_lag_12h,float64,0.03399048266485384,96,True,
humidity_lag_24h,float64,0.06798096532970768,96,True,
pressure_lag_1h,float64,0.0028325402220711533,882,True,
pressure_lag_3h,float64,0.00849762066621346,882,True,
pressure_lag_6h,float64,0.01699524133242692,882,True,
pressure_lag_12h,float64,0.03399048266485384,882,True,
pressure_lag_24h,float64,0.06798096532970768,882,True,
wind_lag_1h,float64,0.0028325402220711533,421,True,
wind_lag_3h,float64,0.00849762066621346,421,True,
wind_lag_6h,float64,0.01699524133242692,421,True,
wind_lag_12h,float64,0.03399048266485384,421,True,
wind_lag_24h,float64,0.06798096532970768,421,True,
precipitation_lag_1h,float64,0.0028325402220711533,150,True,
precipitation_lag_3h,float64,0.00849762066621346,150,True,
precipitation_lag_6h,float64,0.01699524133242692,150,True,
precipitation_lag_12h,float64,0.03399048266485384,150,True,
precipitation_lag_24h,float64,0.06798096532970768,150,True,
dew_point_lag_1h,float64,0.0028325402220711533,426,True,
dew_point_lag_3h,float64,0.00849762066621346,426,True,
dew_point_lag_6h,float64,0.01699524133242692,426,True,
dew_point_lag_12h,float64,0.03399048266485384,426,True,
dew_point_lag_24h,float64,0.06798096532970768,426,True,
aqi_rolling_mean_3h,float64,0.2757005816149256,933,True,
aqi_rolling_min_3h,float64,0.2757005816149256,352,True,
aqi_rolling_max_3h,float64,0.2757005816149256,356,True,
aqi_rolling_std_3h,float64,0.2804214819850442,64431,True,
aqi_rolling_mean_6h,float64,0.2728680413928544,1730,True,
aqi_rolling_min_6h,float64,0.2728680413928544,347,True,
aqi_rolling_max_6h,float64,0.2728680413928544,355,True,
aqi_rolling_std_6h,float64,0.27758894176297305,91131,True,
aqi_rolling_mean_12h,float64,0.27192386131883073,3216,True,
aqi_rolling_min_12h,float64,0.27192386131883073,337,True,
aqi_rolling_max_12h,float64,0.27192386131883073,354,True,
aqi_rolling_std_12h,float64,0.27475640154090186,98964,True,
aqi_rolling_mean_24h,float64,0.27192386131883073,5745,True,
aqi_rolling_min_24h,float64,0.27192386131883073,315,True,
aqi_rolling_max_24h,float64,0.27192386131883073,347,True,
