model,city,horizon,rmse,mae,r2
aqi_ridge,overall,24,18.560913435698268,13.09528062529602,0.8334920188119463
aqi_ridge,overall,48,25.998804904746365,18.41487213540504,0.6716652574546291
aqi_ridge,overall,72,27.82912314259265,19.698152787677994,0.6222343156406027
aqi_ridge,Islamabad,24,15.590853702628753,11.935680492915385,0.756123204526324
aqi_ridge,Islamabad,48,22.051718929436277,16.870511342961436,0.5077206837955307
aqi_ridge,Islamabad,72,24.25969422206173,18.30286750873263,0.4002291724162147
aqi_ridge,Karachi,24,12.996205058411824,9.450206806233384,0.5447246375107133
aqi_ridge,Karachi,48,17.36786683828538,12.770653782697792,0.1665831621209346
aqi_ridge,Karachi,72,17.732837654296997,12.968629760573888,0.086103274361981
aqi_ridge,Lahore,24,24.930833471935745,17.89995457673929,0.7766767413452227
aqi_ridge,Lahore,48,35.21210676983018,25.603451280555905,0.5530522562712665
aqi_ridge,Lahore,72,37.68811469993117,27.822961093727464,0.4855783872880906
aqi_random_forest,overall,24,18.93071655954245,13.262614319859368,0.8267909934369597
aqi_random_forest,overall,48,24.35064431561953,17.401139477589147,0.7119744704313146
aqi_random_forest,overall,72,26.34226152519823,18.96128075085499,0.6615226798271862
aqi_random_forest,Islamabad,24,15.34811797449575,11.76781926101862,0.763657979152409
aqi_random_forest,Islamabad,48,19.96217581866525,15.380724905433272,0.5965939151265038
aqi_random_forest,Islamabad,72,22.03218294615828,16.929483061430535,0.5053138500507361
aqi_random_forest,Karachi,24,12.829841185971317,9.44455203922248,0.5563059554319039
aqi_random_forest,Karachi,48,16.165800577686735,12.240325082446898,0.2779558675320203
aqi_random_forest,Karachi,72,17.025202108376817,13.329911485057083,0.1575867336532054
aqi_random_forest,Lahore,24,25.97973321951014,18.575471659337,0.7574899535270773
aqi_random_forest,Lahore,48,33.452056200248755,24.582368444887265,0.596616281964358
aqi_random_forest,Lahore,72,36.14511909762853,26.62444770607734,0.5268381721656624
aqi_lstm,overall,24,43.83525848388672,35.223453521728516,0.06387871503829956
aqi_lstm,overall,48,44.188560485839844,36.054771423339844,0.04260456562042236
aqi_lstm,overall,72,44.248294830322266,36.1607780456543,0.032869935035705566
aqi_lstm,Islamabad,24,32.54708480834961,28.736188888549805,-0.07544803619384766
aqi_lstm,Islamabad,48,33.78542709350586,29.881717681884766,-0.16801917552947998
aqi_lstm,Islamabad,72,33.924705505371094,30.001903533935547,-0.18509221076965332
aqi_lstm,Karachi,24,35.74531936645508,33.25236892700195,-2.6882855892181396
aqi_lstm,Karachi,48,38.33729934692383,35.761558532714844,-3.4715256690979004
aqi_lstm,Karachi,72,38.69264602661133,36.07148361206055,-3.8536009788513184
aqi_lstm,Lahore,24,58.5452766418457,43.681800842285156,-0.23494601249694824
aqi_lstm,Lahore,48,56.979671478271484,42.52104568481445,-0.1753692626953125
aqi_lstm,Lahore,72,56.795494079589844,42.4089469909668,-0.17885839939117432
