feature,mean_abs_shap_24h,mean_abs_shap_48h,mean_abs_shap_72h
numeric__us_aqi,5.525386207537365,4.618681725500722,4.660295676986267
numeric__aqi_rolling_max_3h,4.9538131954184745,4.490477944738477,3.6800017115449384
numeric__aqi_rolling_mean_3h,3.436633638050936,3.1860118053852875,2.3368223569770663
numeric__aqi_above_150,2.8768823212293957,2.439125840860226,2.3511494439904856
numeric__consecutive_high_aqi_hours,1.996656134208849,1.6962530051750846,1.5212223275885997
numeric__aqi_rolling_max_6h,1.8237357287342955,1.959642485758884,1.409010193241633
numeric__aqi_above_100,1.6488638833116749,1.4580937406100365,1.3944144705712296
numeric__aqi_lag_1h,1.6343351912892763,1.253073068585185,1.2696608223147847
numeric__aqi_pct_change_3h,1.4446814249390092,1.7249874992910812,1.0973700934097081
numeric__aqi_lag_24h,1.3011569024933276,1.6455128958498964,1.4808562104890406
numeric__aqi_rolling_mean_6h,1.2320507683311834,0.9567809464767756,0.9413443051329582
numeric__aqi_change_3h,1.2300504637297176,0.7511466387649689,0.6490044540926433
numeric__aqi_lag_72h,1.0584306748890235,1.8799487225611546,2.2469319770816543
numeric__pm10_rolling_max_72h,1.0238095699431753,3.129500291710506,1.707599389569865
numeric__o3_lag_3h,1.0171606514939784,1.4764198367572459,1.0368343186240814
numeric__pm25_rolling_mean_72h,0.979363550588832,0.972047523603436,0.8682206629249166
numeric__aqi_rolling_min_3h,0.9658877342371772,1.0367348258578226,0.8687060801738938
numeric__aqi_lag_48h,0.9490727135980924,1.2939474024299886,1.464214840816161
numeric__aqi_lag_168h,0.8806176568821591,1.3783775166216272,1.8472019435881515
numeric__aqi_rolling_max_12h,0.8719383881832381,0.5473383170686933,0.6039299783799869
numeric__aqi_lag_2h,0.8467397583410946,0.7440101412003446,0.7035975803495009
city__city_Lahore,0.8271801930949344,1.4864002167544903,1.1634295585853147
numeric__pm10_pct_change_24h,0.807450965483994,0.39993630414849035,0.17625214997075503
numeric__aqi_change_1h,0.7915853385083634,0.7247580700834654,0.6316912333552898
numeric__pm25_pct_change_24h,0.7186869094960886,0.4392120257680738,0.2173816669938504
numeric__o3_lag_6h,0.7122194194680523,0.8972501627066366,0.8657909129179687
numeric__pm10_rolling_max_168h,0.6745996105161974,1.8209981527475356,0.8673574683831137
numeric__aqi_pct_change_1h,0.6727722835814146,0.6755941529311063,0.9636533412719872
numeric__pm25_change_24h,0.6559447078771089,0.51341122321655,0.06607621264948625
numeric__aqi_lag_3h,0.648719157016575,0.4253562816849815,0.3665521726502732
numeric__aqi_rolling_mean_12h,0.5383718722695631,0.4331362128798665,0.3500742320147045
numeric__temperature_rolling_min_6h,0.5232855403728995,0.6534337305155884,0.6546023792299737
numeric__pm25_rolling_max_12h,0.5162091172232225,0.4024832743002263,0.2815544115418571
numeric__pm2_5,0.5140126049910184,0.1776578456236716,0.02732037120535577
